title,release_date,overview,end_range,opening_weekend
LEGO Star Wars: The Quest for R2-D2,2009-08-27,"Tension is building across the galaxy! Anakin Skywalker and R2-D2 have infiltrated a Separatist base.  With a very important secret stored inside the droid, they barely escape, but they are pursued and Artoo is lost somewhere in deep space!",2009-09-03,2009-08-29
Jeff Wayne's Musical Version of 'The War of the Worlds',2006-11-06,"In 1978 Jeff Wayne composed and produced one of the most groundbreaking and best-selling musical works of all time. In 2006, after much anticipation, Jeff Wayne's Musical Version of The War of The Worlds was brought to the stage for the first time, playing to sold-out arenas.  This version filmed at Wembley Arena (UK) on 25th April 2006.",2006-11-13,2006-11-08
When Aliens Attack,2011-09-12,"What if an extra-terrestrial force attacked Earth? What might that look like and how will the people of Earth respond? Consulting a cast of world-renowned scientists, survival experts and defense experts, National Geographic explores this frightening scenario. Experts reveal what could motivate alien invaders to attack Earth, and speculate on how the attack might play out, the strategy alien invaders might use, and the most effective ways for humans to respond.",2011-09-19,2011-09-14
Night Surf,2002-10-31,"Loosely related to the author's highly regarded novel The Stand, the brief story follows one evening on a place called Anson Beach, New Hampshire, with a group of teens, survivors of a catastrophic virus called A6, or ""Captain Trips"", that has wiped out virtually the entire population.",2002-11-07,2002-11-02
Salesman Pete and the Amazing Stone from Outer Space!,2010-09-20,Pete is a nice and clumsy salesman. But he's also a deadly super secret agent with a microprocessor implanted into his brain by some mad scientists from the government. He has to secretly stop a bunch of badguys who stole a magic stone that can change anything into seafood.,2010-09-27,2010-09-22
Say Nothing,2001-08-01,"Housewife Grace Needham (Nastassja Kinski) has a one-night stand with Julian Grant (William Baldwin), who then becomes obsessed with sinking her marriage to husband Matt (Hart Bochner). The twist here is that Julian is a millionaire global powerbroker, and Matt works for him! It's a titanic battle of testosterone as the guys duke it out while Grace simmers angrily.",2001-08-08,2001-08-03
Andromina: The Pleasure Planet,1999-08-06,"Three adventurous space pilots voyage to the all-female planet Andromina, looking forward to the most famous pleasure planet in the galaxy. When they arrive they find that all the women have disappeared, and it's up to them to figure out where the fun has gone.",1999-08-13,1999-08-08
Pitch Black: Slam City,2000-02-01,"Slam City is a short flash movie prequel to Pitch Black by animator Brian Murray with David Twohy which had been available for download at the Pitch Black website. Slam City is in the form of an official, confidential prison record detailing Riddick's arrival and escape from the Ursa Luna Slam city Facility in eleven hours twenty-two minutes. Notably, it shows Riddick undergoing the surgery that gives him ""eyeshine"" — the ability to see in the dark — and paying for this with a pack of Kool cigarettes as mentioned in Pitch Black. William J. Johns is seen at the end of the movie and is charged with capturing Riddick.",2000-02-08,2000-02-03
Happy Here and Now,2002-06-08,"When her sister suddenly vanishes, a young girl sets out to find her, desperately searching the internet for clues. Joining her is an ex-CIA agent, who uncovers fragments of online chats the missing girl had with a softcore pornographer.",2002-06-15,2002-06-10
Depositarios,2010-11-12,"In the near future, medicine, computing and genetics have made it possible to end the human physical and psychological pain, filtering it through other human beings created expressly for this task, known as ""gatekeepers"". The plot follows the story of two researchers who belong to the Police Special Branch dedicated to pursue the emerging crimes related to the implementation of this new technology.",2010-11-19,2010-11-14
Star Trek Voyager: Dark Frontier,1999-02-17,"Dark Frontier"" is a feature length TV Movie of Star Trek: Voyager, the 15th and 16th episodes of the fifth season. This episode originally aired as a feature-length episode that was later broken up into two parts for reruns in syndication.",1999-02-24,1999-02-19
Turbo,2009-04-30,"TURBO is a high adrenaline short film that tells the story of Hugo Park (Justin Chon, Twilight) a misspent youth whose only outlet for angst is a 4D fighting videogame called “Super Turbo Arena”. When Pharaoh King (Jocko Sims, Crash the Series), the Michael Jordan of cyber-sports, announces a tournament to determine who will join his pro-team, Hugo sets his eyes on the prize.",2009-05-07,2009-05-02
Battlespace,2007-03-20,A futuristic sci-fi adventure begins after the destruction of their Universe. With a militaristic race of modified humans in hot pursuit Colonel Mara Shryyke finds herself stranded on an inhospitable planet and discovers a weapon of mass destruction set to destroy her home planet in less then 42 hours!,2007-03-27,2007-03-22
Demon Resurrection,2008-02-18,"In an isolated house, a group of friends battle supernatural forces as they try to protect a young woman from an evil cult in this low-budget shocker that pays homage to 70s horror and exploitation classics.",2008-02-25,2008-02-20
Spectres,2004-01-01,"KELLY is a beautiful young 16-year old who, like many teenagers, feels her life has become unbearably dark and depressed. Unable to make a meaningful connection with anyone around her, least of all her workaholic mom LAURA LEE, Kelly decides she'd rather be with her dad, who died several years before. The suicide attempt fails, but Laura Lee gets an urgent wake-up call and is determined to give Kelly some desperately needed attention. Hoping a change of scenery will help, mom and daughter rent a house for a long summer vacation. THE BIG HOUSE ON THE HILL offers peace, quiet, and ... mystery.",2004-01-08,2004-01-03
Inbred Redneck Alien Abduction,2004-11-30,"Government special agents are sent to the hills of Arkansas to investigate an alien abduction. The agents meet and ""team-up"" with some back woods hillbillies to infiltrate the alien's mother ship. Once aboard the spacecraft, hillbillies and government agents alike must fight for their lives and escape their alien foes!",2004-12-07,2004-12-02
Time at the Top,1999-01-17,"14-year old Susan Shawson travels back in time in her building's elevator. As altered by a retired physicist living in her building, it transports her from Philadelphia of 1998 back to the same place in 1881. There she meets Victoria Walker, a girl her own age in need of assistance with her own family problems. Gradually discovering the power of her time machine, Susan, Victoria, and her young brother Robert travel back and forth in time and succeed in changing both the past and the future.",1999-01-24,1999-01-19
Sight,2012-07-27,A short futuristic film featuring Augmented reality and Gamification by Eran May-raz and Daniel Lazo. This is our graduation project from Bezaleal academy of arts.,2012-08-03,2012-07-29
Cat Scratch Fever,2012-06-02,"Two young women discover a way to view parallel universe versions of themselves via the internet, and rapidly become obsessed with watching the alternate paths that their lives might have taken.",2012-06-09,2012-06-04
Star Wars: Clone Wars - Volume One,2005-10-28,,2005-11-04,2005-10-30
Moonless,2012-01-01,A traveler reluctantly returns to Earth.,2012-01-08,2012-01-03
The Girl from Outer Space,2009-06-15,"In preparation for the invasion, the aliens need to find the chosen one who will help them gain complete control over the land.",2009-06-22,2009-06-17
Sea People,1999-06-21,"At 14, Amanda is a perfect swimmer and a great student. When the factory where his father works closes and he must go to work in another city, she feels very sad. One morning she meets the McRea, a very nice elderly couple who, like her, cannot live without the sea, although in another sense.",1999-06-28,1999-06-23
Xenosaga Episode 1: Der Wille zur Macht,2005-02-15,"Thousands of years into the future, mankind has abandoned Earth and exists only in deep space. When their Federation flagship is destroyed by the oppresive alien race known as the Gnosis, survivors Shion Uzuki and her battle android KOS-MOS become entangled in the search to unlock the ultimate power of the Zohar -- an artifact that could be humanity's salvation... or greatest threat yet!",2005-02-22,2005-02-17
Resident Evil: Afterlife,2010-09-10,"In a world ravaged by a virus infection, turning its victims into the Undead, Alice continues on her journey to find survivors and lead them to safety. Her deadly battle with the Umbrella Corporation reaches new heights, but Alice gets some unexpected help from an old friend. A new lead that promises a safe haven from the Undead takes them to Los Angeles, but when they arrive the city is overrun by thousands of Undead - and Alice and her comrades are about to step into a deadly trap.",2010-09-17,2010-09-12
Sex Files: Pleasure World,1998-01-01,"Vacationers go to ""Pleasure World"" to make their sexual fantasies come true with the non-human staff.",1998-01-08,1998-01-03
In the Pines,2011-01-01,"Simultaneously an exploration of nature and psyche, ‘In The Pines’ documents a  young woman’s hunt for extraterrestrial meaning. Part science fiction, part psychothriller, part poetry - this film crafts a scene viewers will be eager to revisit.",2011-01-08,2011-01-03
Bad Movie Police: Case #1: Galaxy Of The Dinosaurs,2003-10-14,"Follow the adventures of Sgt. Elke Mantooth, Lt. Drucilla Dread and The BMP Task Force as they seek out the worst ""cine-terrorists"" in movie history and bring their crimes to justice for your entertainment! The first BAD MOVIE POLICE case is a little gem from 1992 called GALAXY OF THE DINOSAURS.",2003-10-21,2003-10-16
Steampunk Samurai Biker Chick,2012-01-01,,2012-01-08,2012-01-03
Billy Owens and the Secret of the Runes,2010-01-01,Three students have to find a way to free their teacher's soul from an enchanted amulet.,2010-01-08,2010-01-03
Justin Time,2010-01-01,"An ancient stone amulet and calendar disc has the power to stop time. Passed from generation to generation, these magical artifacts end up in the hands of an 18-year-old half Shoshoni Indian named Justin, who chooses to to use his power to make the world a better place.",2010-01-08,2010-01-03
Max Knight: Ultra Spy,2000-02-25,"A master of espionage is hot on the trail of a new kind of computer criminal in this made-for-TV sci-fi action opus. Lindsay (Brooke Harman) is a scientist whose latest discovery in energy transformation has the potential to revolutionize the world; it also attracts the attention of Zachary (Christopher Morris), the leader of a cyber-savvy gang, and Zachary kidnaps Lindsay in order to learn her secrets. Lindsay's sister Ricki (Rachel Blakely) soons becomes concerned about her sister's disappearance, and contacts super sleuth Max Knight (Michael Landes) to find her. As Max searches for Lindsay, he discovers Zachary and his cohorts have strange plans for Lindsay's innovation, which could make it possible for them to leave their bodies and travel wherever they wish through the Internet.  (Max Knight: Ultra Spy was released direct-to-video)",2000-03-03,2000-02-27
Press Start,2007-01-01,"Average suburban youth Zack Nimbus is recruited by an ill-tempered ninja and a tough-as-nails space soldier to save the world from a tyrannical, but comically insecure, sorcerer.",2007-01-08,2007-01-03
Anthem,2007-01-01,In the distant future two explorers uncover a time capsule buried by the people of Earth on the eve of its destruction.,2007-01-08,2007-01-03
The Nightwalker,2005-07-28,A cautionary tale of a scientist who gets in over his head in an occult swindle.,2005-08-04,2005-07-30
The Naive Man From Lolliland,2005-01-01,"A Naive man from the Lolliland leaves a generous tip, but the currency is not to the restaurant's standers.",2005-01-08,2005-01-03
Dr. Jekyll & Mistress Hyde,2003-01-06,"Dr. Jackie Stevenson is a Los Angeles based therapist and scientist who tries to invent a serum to separate the pure from the lustful side of the female psychosis. After she has an unsuccessful experiment with a female client named Martine, which drove her patient to insanity and to a mental hospital, Jackie tries part of the serum on herself and becomes her lustful alter ego Heidi Hyde; a voracious lesbian who prowls the streets of L.A. after dark looking for carnal pleasures.",2003-01-13,2003-01-08
Julie & Jack,2003-01-01,"In this love story with Hitchcockian overtones, a computer chip salesman meets the perfect girl (a brilliant software developer) -- and then she disappears. After Jack Livingstone (Justin Kunkle) finds Julie Romanov (Jenn Gotzon) through an Internet dating service, he's convinced life is perfect. But when she vanishes, he's left distraught and confused. Turning to Julie's mother (Hitchcock vet Tippi Hedren), he learns a startling revelation.",2003-01-08,2003-01-03
Light Speed,1998-01-01,A space freighter that has gone adrift suddenly catapults into an alternate universe.,1998-01-08,1998-01-03
Pleasurecraft,1999-01-01,No overview found.,1999-01-08,1999-01-03
The Tomorrow Man,2002-04-05,"Larry Mackey is a blue-collar dad in the 1970's, determined to make a better future for his young son. A future that's coming a lot faster than he thinks... When a depraved gang of time travelers from 2000 cross Larry's path, he's accidentally forwarded, where he discovers he's the reason his grown son has become a gangland murderer. Now he must make every minute count in his second chance of a lifetime to set things right",2002-04-12,2002-04-07
The Frozen Inferno,2000-04-21,"A small band of survivors unwillingly add a new member to their quickly dwindling population, with disastrous results.",2000-04-28,2000-04-23
Backgammon,2001-01-01,"SURVIVAL OF THE MISFITS... Set in a futuristic world, BACKGAMMON is a clever black comedy, a tongue-in-cheek look at the runaway values that's created the never-ending 9-5 loop.",2001-01-08,2001-01-03
Visions,1998-01-30,,1998-02-06,1998-02-01
Guardian of the Realm,2004-06-13,Two demon hunters race to save the human race after an a cult accidentally releases a particularly dangerous demon.,2004-06-20,2004-06-15
Altered Species,2001-09-01,"Altered Species is a 2001 horror film, about a scientist who has found a way to regenerate damaged tissue in the body. He has tried his experiment on rats, but the effects are disastrous. One of them grows to 50 times its normal size, and attempts to destroy the laboratory.",2001-09-08,2001-09-03
Snow Shark: Ancient Snow Beast,2011-10-12,12 years ago during a scientific expedition 3 animal biologists stumbled upon a great discovery that ended in tragedy. Whatever killed them has awoken and now the legend of the Ancient Snow Beast could prove to be more than just a legend.,2011-10-19,2011-10-14
Evil Alien Conquerors,2003-12-03,Inept beings from the planet Kabijj land on Earth and attempt to behead all of its beings and take over the planet,2003-12-10,2003-12-05
The Quatermass Experiment,2005-04-02,A contemporary adaptation of Nigel Kneale's seminal 1953 science fiction serial.,2005-04-09,2005-04-04
The Silent City,2006-10-01,The story revolves around 3 soldiers who are on the outskirts of a war torn city. They are patrolling an area when a bomb is accidentally set off and they have to wait for help.,2006-10-08,2006-10-03
Mushi-Shi: The Movie,2006-01-01,"Mushi are beings in touch with the essence of life, far more basic and pure than normal living things. Most humans are incapable of perceiving Mushi and are oblivious to their existence, but there are a few who possess the ability to see and interact with Mushi. One such person is Ginko who travels from place to place to research Mushi and aid people suffering from problems caused by them.",2006-01-08,2006-01-03
Half-Life: Escape From City 17 - Part 2,2011-08-24,A story about the connection that grows between two people during the battle for city 17.,2011-08-31,2011-08-26
The Crimson Mask,2009-03-26,Two desperate men find themselves unwitting pawns in an ancient ritual.,2009-04-02,2009-03-28
FAQ: Frequently Asked Questions,2004-10-12,"France. A near and probable future. The Sisterhood of Metacontrol governs Europe. Angeline, an exemplary and irreproachable citizen has just joined the order... But her relationship with a special man, Nono, will make her question profoundly the principles of the Doctrine.",2004-10-19,2004-10-14
Voyage to Metropolis,2010-11-23,A documentary about the making of the final version of Metropolis by restoring all material from different sources.,2010-11-30,2010-11-25
Deadlands 2: Trapped,2008-10-27,"The United States Government has developed a highly effective nerve gas that is unleashed upon the residents of a small Maryland City. During the top secret exercise the infected citizens begin to convert each resident into a sort of living zombie, until the remaining town residents, 6 total strangers, are trapped inside a movie theater cineplex.",2008-11-03,2008-10-29
Egon & Dönci,2009-05-01,"Egon lebt mit seinem Kater Dönci in einer fernen Galaxie und bastelt an einem Raumschiff. Plötzlich schlägt die Raumsonde Voyager 3 auf dem Planeten ein und Egon findet eine Nachricht von der Erde. Wenig später machen sich ""Egon &amp; Dönci"" auf den Weg zum blauen Planeten. Es beginnt eine aufregende Reise durch das Weltall für ""Egon &amp; Donci"".",2009-05-08,2009-05-03
Red River,2011-05-05,"Set in a small town in the backwoods of Kentucky, RED RIVER tells the tale of Roland Thatcher: a family man, a business man, a man of God...and a man who doesn't take kindly to strangers. When a group of city kids sets up camp on the outskirts of his property, they spark a chain of events culminating in bloodshed, dismemberment and mass murder. As a local, fledgling reporter inches closer to the Thatcher property, the shocking truth about Roland and his 'family' may finally emerge...",2011-05-12,2011-05-07
After Last Season,2009-06-05,"Two neurology students create a telepathy experiment together to visualize a murderer, who recently knifed another student.",2009-06-12,2009-06-07
2 Laps 2 Go,2005-07-01,"One is a 7-time AMA Pro Racing Champion and Indy 500 Rookie of the Year. The other, a folk hero of American motorcross, who has beaten the odds, and fought his way back from pain and adversity like no one the sport has encountered. And lastly there is the 17-year-old prodigy, fearless and determined to make his mark sooner than later. ""2 Laps 2 Go"" is a behind he curtain look at the 2004 Supermoto season. Narrated by OLN personality Bob Roll, the film follows Jeff Ward, Doug Henry and Chris Fillmore as they cross America in an effort to dominate the most versatile and challenging form of motorcycle racing in the world. Along the way, you'll experience all the emotional highs and lows that come with racing and a recap of the storied careers of Ward and Henry - two men who have dedicated themselves to be the best at what they do.",2005-07-08,2005-07-03
Escape to Grizzly Mountain,2000-03-14,"Jimmy, a young boy trying to gain acceptance from his peers, is horrified when he sees a circus trainer abusing a bear cub. One of the circus employees tells Jimmy that there is a magic cave in the hills nearby that can transport people to another time, and that maybe he can use it to help the bear. Jimmy does some exploring, finds the cave, and is amazed to find himself transported back to the early 1800's where he encounters Jeremiah, a nature-loving mountain man with a bear friend of his own. Jeremiah agrees to come to the future and help out Jimmy, but the 21st century is quite different from the 19th, and springing the bear cub will not be as easy as Jeremiah thinks. Not in any way related to the ""Grizzly Adams"" television series.",2000-03-21,2000-03-16
The Beat,2005-08-16,"In a split narrative, a young man follows two paths: his father's dream of him becoming a cop, and his own dream of becoming a rapper",2005-08-23,2005-08-18
Horror in the Wind,2008-01-01,Two biogeneticists invent an airborne formula that changes the sexual orientation of anyone it reaches.,2008-01-08,2008-01-03
2012: An Awakening,2009-09-29,"The year 2012 is predicted to be one of great change in cultures spanning the globe. A 26,000 year alignment will occur on the 21 December 2012, will it be the end of the world or the end of time as we know it?",2009-10-06,2009-10-01
Brain Robbers from Outer Space,2004-06-01,Aliens have brought the dead back to life to enslave the Earth.,2004-06-08,2004-06-03
The Shiftling,2008-05-01,"Adventurer Alan Monroe is skeptical when a friend tells him of the secret society, Paladins of the Red Order, which exists to track the unearthly horror, the Shiftling. That is, until the Paladins are destroyed and the Shiftling begins to hunt the last person who knows of its existence: Monroe himself.",2008-05-08,2008-05-03
Alien Express,2005-08-13,"A new super train is built when a meteorite crashes near by, releasing a tiny creature. Once it kills and consumes everyone on board the train, it begins to grow and multiply into hordes of different creatures.",2005-08-20,2005-08-15
Somnolence,2011-01-06,"By 2031, the Earth has exhausted its supply of fossil fuels. With the world on the verge of collapse, nations from around the globe form a coalition called AREN; the 'Manhattan Project' of clean self-replenishing energy. When an experiment goes wrong that threatens the world's existence, David Canterra and a team of elite soldiers are sent on a mission to stop the anomaly. What they find is a mind-bending alternate dimension, and their only way home is through the fabric of time.",2011-01-13,2011-01-08
Christmas Yule Log,2010-07-06,Experience the warmth of the Holiday Season with a blazing fireplace and your favorite Holiday Music,2010-07-13,2010-07-08
"She, the Ultimate Weapon: Another Love Song",2006-05-09,"For the ultimate weapon, career soldier Lt. Mizuki is that prototype. As she comes to the limit of her powers as a weapon, she must watch the unfolding of Chise's growth into the final weapon.",2006-05-16,2006-05-11
Cat Girl Kiki,2007-05-08,"Yoshirou, a secluded teenager, brings back home a stray cat after a car accident. The next morning the cat has turned into a nice girl, Kiki, who wants to be his girlfriend... Will catnip get in the way of their love?",2007-05-15,2007-05-10
Journey to Promethea,2010-01-01,"A tyrannical king reigns over his kingdom with an iron fist, but there is hope. A prophecy foretold long ago states that a boy will rise up against the oppressive regime and lead his people to the promised land of Promethea. This is the action-packed journey of one boy that sparks a rebellion that ignites a vicious clash of that sparks a rebellion that ignites a vicious clash of can emerge alive and victorious.",2010-01-08,2010-01-03
World Builder,2007-01-01,"""World Builder"" is a short film by Bruce Branit (co-creator of ""405"") in which a man uses holographic tools to create a virtual world for a woman he loves. The filming was completed in a single day, but the post-production computer graphics required 2 years.",2007-01-08,2007-01-03
Death Kappa,2010-06-25,"When military experiments go haywire and trigger an atomic bomb, the consequences are of epic proportions. A monster arrives in the midst of the nuclear fallout, and Japan's defenses are helpless against it. Mankind's only savior is an irradiated water goblin from Japanese folklore called the ""Death Kappa"". The two rival monsters must go head-to-head in the ultimate battle between good and evil!",2010-07-02,2010-06-27
D4,2010-07-07,D4 follows a team of special ops mercenaries on a mission to rescue a kidnapped kid believed to be held in an abandoned government facility...,2010-07-14,2010-07-09
Rough Magik,2000-10-06,"Rough Magik is about The Night Scholars, a clandestine organization setup to monitor the ancient cult of Cthulhu. After decades of compiling an enormous database of arcane information, they have come to a single, incontrovertible conclusion: the Sleeping God is waking.",2000-10-13,2000-10-08
Airtight,1999-11-26,"Set in the nuclear war-torn world of 2040, a congested city is shrouded in a deadly smog, where breathable air is obtainable only through labyrinth shafts that transport the precious gas from high in the atmosphere. These passages are kept functioning by an elite 'Air Force'. The team risk annihilation to expose a deadly blackmail scheme.",1999-12-03,1999-11-28
Max Magician and the Legend of the Rings,2002-10-01,"A magical tale about young Max, a shy, bullied boy.  His life is forever changed when he receives an ancient magical book that opens a mystical door into an enchanted kingdom where an adventure filled with warriors, elves, queens and sorcerers awaits.",2002-10-08,2002-10-03
The Last Man,2008-02-23,Based on a novel by Mary Shelley,2008-03-01,2008-02-25
Intolerance,2000-01-01,"The film begins with an Earth space craft stumbling upon a movie floating in the vast nothingness. The film turns out to be from planet Zog and when people see it, they are shocked and angered by the Zogs (or is it 'Zogians' or 'Zogites'?). It seems that they have their genitals where our heads are and vice-versa. To make things really weird, they eat and drink with their genitals and defecate with their faces.",2000-01-08,2000-01-03
Born of Earth,2011-09-13,"Over centuries humans have been mysteriously disappearing with no explanations, just hushed whispers in the dark. On the surface Prophet Hills seems like a perfect place to live and raise a family, but Danny Kessler (Baldwin) has seen better days. This is one man's journey to find the culprit of the ultimate sacrifice he's endured. He must face his demons and go back to the place that has haunted him. He must convince family, friends and townspeople that something is not right in Prophet Hills. He must make them believe that something evil is living beneath their own backyards.",2011-09-20,2011-09-15
Urchin,2007-06-26,"In a tunnel deep under Manhattan, the Old Man rules the citizens of Scum-City. He swears to lead them to a paradise within the hollow earth once he finds five noble souls; but until then his followers must steal and deal to support him. A terminally ill hunchback named Goliath, crazed by his approaching death, decides to find the five noble souls and present them to the Old Man;by beheading New Yorkers he deems worthy of the honor. Meanwhile, another Scum-City dweller known as The Kid tries to do the Old Man's bidding, tangling with deadly gangsters and eccentric drug dealers-even though The Kid is only nine and his main weapon is a water pistol filled with acid. As both Goliath and The Kid pursue paths they believe will lead to paradise, they rob, kill;and inevitably confront each other in a grand showdown.",2007-07-03,2007-06-28
Escape to Grizzly Mountain,2000-03-14,"Jimmy, a young boy trying to gain acceptance from his peers, is horrified when he sees a circus trainer abusing a bear cub. One of the circus employees tells Jimmy that there is a magic cave in the hills nearby that can transport people to another time, and that maybe he can use it to help the bear. Jimmy does some exploring, finds the cave, and is amazed to find himself transported back to the early 1800's where he encounters Jeremiah, a nature-loving mountain man with a bear friend of his own. Jeremiah agrees to come to the future and help out Jimmy, but the 21st century is quite different from the 19th, and springing the bear cub will not be as easy as Jeremiah thinks. Not in any way related to the ""Grizzly Adams"" television series.",2000-03-21,2000-03-16
The Beat,2005-08-16,"In a split narrative, a young man follows two paths: his father's dream of him becoming a cop, and his own dream of becoming a rapper",2005-08-23,2005-08-18
The Evolution of the Enterprise,2009-08-09,"This is the story of the evolution of the starship ""Enterprise"".",2009-08-16,2009-08-11
Meant To Be,2010-04-24,A delightful romantic comedy about about a guardian angel who falls for the young woman he is protecting.,2010-05-01,2010-04-26
Dark Walker,2003-05-20,"Darkwalker centers around a haunted house amusement park near Fresno, Californa called Hobb's Grove (yes, it's a real place), where a group of teenagers get Halloween jobs working there. What they don't know is the land the attraction was built on has a bloody history. They soon realize they are in for more than just a Halloween job, when one by one they start dying off. soon they find a monsterous creature called, DARK WALKER, has risen to take vengence on the trespassing patrons.",2003-05-27,2003-05-22
Planet of the Vampire Women,2011-04-30,"Camp sci-fi thriller about space heroes battling (and, of course, becoming) vampires.",2011-05-07,2011-05-02
"Ring Of Power - The empire of ""THE CITY""",2006-09-04,"City of London + City of Vatican + City of columbia are the 3 independant states within states wich composes the empire of the city. The first is financial control over earth economy, the second is religion control over the earth and the third one is military control over the earth. Together they make the very unholy trinity which forms the egyptian pyramid that we can see on the back of the privately owned federal reserve note that is used as american dollar to maintain the colony in debt and under the Queen. Many people realize that this mystifying situation, in which an alleged democratic and self-governing nation is actually controlled against the will of the people, is a clear indication that there must be a very powerful and well-financed occult organization which plans and directs world affairs, and for lack of a more specific identification thie suspected secret organization is popularly referred to as the International Financiers, Banksters cartel or ""The Crown corporation""",2006-09-11,2006-09-06
Hood Rat,2003-04-09,"Think of it as Willard in the hood, the debut feature from director Leslie Small finds a Isaiah Washington playing a kindly man who turns maniacal with revenge and enlists the help of some man-eating rodents. Living in a rat-infested apartment building, Max is pushed to the edge when his handicapped brother is killed due to the conditions of the inner-city slum. With the rats as his willing soldiers, Max sets out to avenge the senseless death. Hood Rat also stars rapper-turned-actor Ice-T.",2003-04-16,2003-04-11
Close Encounters: Proof of Alien Contact,2000-05-16,"NOT JUST ANOTHER TELEVISION SPECIAL IT'S A NEWS MAKING EVENT! Close Encounters: Proof of Alien Contact brings you the first physical proof of alien encounters, all new footage and exclusive interviews!",2000-05-23,2000-05-18
Half-Life: Escape From City 17 - Part 2,2011-08-24,A story about the connection that grows between two people during the battle for city 17.,2011-08-31,2011-08-26
Let There Be Light: The Odyssey of Dark Star,2010-10-26,"Exploring the controversial story behind John Carpenter (Halloween &amp; The Thing) and writer Dan O Bannon's (Alien &amp; Return of the Living Dead) from first feature film. From its humble beginnings as a USC student film, to its modern day status as a cult masterpiece. It also offers a rare glimpse inside the creative minds of two USC film students... who would eventually go on to change the way horror films are made.",2010-11-02,2010-10-28
The Crimson Mask,2009-03-26,Two desperate men find themselves unwitting pawns in an ancient ritual.,2009-04-02,2009-03-28
FAQ: Frequently Asked Questions,2004-10-12,"France. A near and probable future. The Sisterhood of Metacontrol governs Europe. Angeline, an exemplary and irreproachable citizen has just joined the order... But her relationship with a special man, Nono, will make her question profoundly the principles of the Doctrine.",2004-10-19,2004-10-14
Voyage to Metropolis,2010-11-23,A documentary about the making of the final version of Metropolis by restoring all material from different sources.,2010-11-30,2010-11-25
Egon & Dönci,2009-05-01,"Egon lebt mit seinem Kater Dönci in einer fernen Galaxie und bastelt an einem Raumschiff. Plötzlich schlägt die Raumsonde Voyager 3 auf dem Planeten ein und Egon findet eine Nachricht von der Erde. Wenig später machen sich ""Egon &amp; Dönci"" auf den Weg zum blauen Planeten. Es beginnt eine aufregende Reise durch das Weltall für ""Egon &amp; Donci"".",2009-05-08,2009-05-03
Red River,2011-05-05,"Set in a small town in the backwoods of Kentucky, RED RIVER tells the tale of Roland Thatcher: a family man, a business man, a man of God...and a man who doesn't take kindly to strangers. When a group of city kids sets up camp on the outskirts of his property, they spark a chain of events culminating in bloodshed, dismemberment and mass murder. As a local, fledgling reporter inches closer to the Thatcher property, the shocking truth about Roland and his 'family' may finally emerge...",2011-05-12,2011-05-07
After Last Season,2009-06-05,"Two neurology students create a telepathy experiment together to visualize a murderer, who recently knifed another student.",2009-06-12,2009-06-07
Tempbot,2006-01-01,"The film follows a 'tempbot', a robot assigned for a short period of time at an ordinary office, and his romantic endeavours with the Human Resources manager.",2006-01-08,2006-01-03
Trail of the Screaming Forehead,2008-06-08,A small town infestation of crawling alien foreheads that begin attaching to people and taking them over collides with a scientist's experiments to extract foreheadazine and things go horribly horribly wrong.,2008-06-15,2008-06-10
DNA vs The Book of Mormon,2003-03-20,This documentary examines the genetic evidence of the claims of the Book of Mormon. Are the native Americans decedents of the lost tribe of Israel?,2003-03-27,2003-03-22
Exist,2011-02-01,Two men accidentally find themselves in the middle of the worlds first encounter with extraterrestrial life.,2011-02-08,2011-02-03
One Day Like Rain,2007-06-15,A teenage girl living in California suburbia devises a metaphysical experiment designed to save the world from what she sees as an impending doom...but the results of such an experiment prove to be both beneficial and destructive.,2007-06-22,2007-06-17
Born of Earth,2011-09-13,"Over centuries humans have been mysteriously disappearing with no explanations, just hushed whispers in the dark. On the surface Prophet Hills seems like a perfect place to live and raise a family, but Danny Kessler (Baldwin) has seen better days. This is one man's journey to find the culprit of the ultimate sacrifice he's endured. He must face his demons and go back to the place that has haunted him. He must convince family, friends and townspeople that something is not right in Prophet Hills. He must make them believe that something evil is living beneath their own backyards.",2011-09-20,2011-09-15
Urchin,2007-06-26,"In a tunnel deep under Manhattan, the Old Man rules the citizens of Scum-City. He swears to lead them to a paradise within the hollow earth once he finds five noble souls; but until then his followers must steal and deal to support him. A terminally ill hunchback named Goliath, crazed by his approaching death, decides to find the five noble souls and present them to the Old Man;by beheading New Yorkers he deems worthy of the honor. Meanwhile, another Scum-City dweller known as The Kid tries to do the Old Man's bidding, tangling with deadly gangsters and eccentric drug dealers-even though The Kid is only nine and his main weapon is a water pistol filled with acid. As both Goliath and The Kid pursue paths they believe will lead to paradise, they rob, kill;and inevitably confront each other in a grand showdown.",2007-07-03,2007-06-28
Horror in the Wind,2008-01-01,Two biogeneticists invent an airborne formula that changes the sexual orientation of anyone it reaches.,2008-01-08,2008-01-03
2012: An Awakening,2009-09-29,"The year 2012 is predicted to be one of great change in cultures spanning the globe. A 26,000 year alignment will occur on the 21 December 2012, will it be the end of the world or the end of time as we know it?",2009-10-06,2009-10-01
Brain Robbers from Outer Space,2004-06-01,Aliens have brought the dead back to life to enslave the Earth.,2004-06-08,2004-06-03
